tokens,Condition,Language,Message
1,equal/far,Chinese,深绿色
1,equal/far,Chinese,绿色
1,further/split,Chinese,绿色
1,further/split,Chinese,黄色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,绿色
1,further/split,Chinese,绿色
1,further/split,Chinese,粉
1,equal/far,Chinese,蓝色
1,equal/far,Chinese,蓝色
1,equal/far,Chinese,蓝色
1,closer/close,Chinese,蓝色
1,closer/close,Chinese,蓝色
1,further/split,Chinese,灰色
1,equal/far,Chinese,蓝色
1,equal/far,Chinese,粉
1,further/split,Chinese,灰色
1,further/split,Chinese,灰色
1,further/split,Chinese,深绿色
1,further/split,Chinese,灰色
1,further/split,Chinese,紫色
1,closer/close,Chinese,紫色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,黄色
1,equal/far,Chinese,黄色
1,closer/close,Chinese,紫色
1,further/split,Chinese,蓝色
1,closer/close,Chinese,蓝色
1,closer/close,Chinese,灰色
1,closer/close,Chinese,灰色
1,closer/close,Chinese,棕色
1,closer/close,Chinese,深蓝
1,equal/far,Chinese,深蓝
1,closer/close,Chinese,深灰色
1,further/split,Chinese,深灰色
1,closer/close,Chinese,棕色
1,further/split,Chinese,紫色
1,equal/far,Chinese,黄色
1,further/split,Chinese,灰色
1,closer/close,Chinese,深绿色
1,further/split,Chinese,黄色
1,equal/far,Chinese,粉
1,closer/close,Chinese,淡黄色
1,equal/far,Chinese,绿色
1,closer/close,Chinese,紫色
1,closer/close,Chinese,深绿色
1,equal/far,Chinese,灰色
1,further/split,Chinese,棕色
1,further/split,Chinese,灰黃色
3,closer/close,Chinese,粉紫色 
1,equal/far,Chinese,绿色
1,further/split,Chinese,绿色
4,further/split,Chinese,最亮的那一個
1,closer/close,Chinese,灰色
1,further/split,Chinese,灰色
2,further/split,Chinese,有點綠
1,further/split,Chinese,棕色
1,closer/close,Chinese,紫色
4,closer/close,Chinese,都是紫色那一個
5,closer/close,Chinese,比較土的那一個
1,equal/far,Chinese,灰色
1,closer/close,Chinese,淡紫色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,很鮮艷
1,equal/far,Chinese,灰狼
1,equal/far,Chinese,蓝
2,closer/close,Chinese,紅紫色
1,closer/close,Chinese,紫色
1,equal/far,Chinese,灰黃色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,绿色
1,closer/close,Chinese,蓝色
3,closer/close,Chinese,比較暗的
1,equal/far,Chinese,灰色
1,closer/close,Chinese,棕色
1,further/split,Chinese,棕色
2,further/split,Chinese,亮粉色
3,closer/close,Chinese,綠色草地上
1,equal/far,Chinese,綠色
1,closer/close,Chinese,紫色
1,closer/close,Chinese,亮
1,closer/close,Chinese,红
1,equal/far,Chinese,灰色
1,further/split,Chinese,灰绿色
1,closer/close,Chinese,绿黄色
1,equal/far,Chinese,黄色
1,further/split,Chinese,蓝
1,further/split,Chinese,灰
1,further/split,Chinese,绿
1,closer/close,Chinese,紫色
1,equal/far,Chinese,绿
1,further/split,Chinese,绿
4,further/split,Chinese,有兩個那一個
6,further/split,Chinese,顏色比較重的那個
1,further/split,Chinese,绿色
1,further/split,Chinese,很鮮艷
2,further/split,Chinese,亮粉色
1,further/split,Chinese,灰色
2,closer/close,Chinese,最淡得那個
1,closer/close,Chinese,蓝灰色
2,closer/close,Chinese,最淡得那個
2,equal/far,Chinese,棕紫色
2,equal/far,Chinese,棕紫色
3,further/split,Chinese,亮 蓝色
1,further/split,Chinese,灰色
1,equal/far,Chinese,蓝色
4,equal/far,Chinese,红 亮粉色
2,equal/far,Chinese,红粉色
1,closer/close,Chinese,粉色
1,further/split,Chinese,绿
1,closer/close,Chinese,淡紫色
1,closer/close,Chinese,淡紫色
1,equal/far,Chinese,蓝色
1,equal/far,Chinese,蓝色
1,further/split,Chinese,蓝色
1,closer/close,Chinese,淡绿色
1,equal/far,Chinese,蓝色
1,equal/far,Chinese,灰色
1,equal/far,Chinese,红
1,equal/far,Chinese,蓝色
3,further/split,Chinese,亮绿色 
1,further/split,Chinese,淡绿色
1,equal/far,Chinese,蓝色
1,further/split,Chinese,紫色
1,equal/far,Chinese,紫色
1,closer/close,Chinese,灰色
1,closer/close,Chinese,淡蓝色
3,equal/far,Chinese,绿色 亮
1,further/split,Chinese,淡蓝色
1,equal/far,Chinese,蓝色
1,equal/far,Chinese,淡蓝色
1,closer/close,Chinese,紫色
1,further/split,Chinese,蓝色
1,equal/far,Chinese,浅褐色
1,further/split,Chinese,橙子
1,further/split,Chinese,绿色
1,equal/far,Chinese,橙子
1,further/split,Chinese,淡紫色
1,closer/close,Chinese,粉红色
1,closer/close,Chinese,淡紫色
1,closer/close,Chinese,淡紫色
1,closer/close,Chinese,淡紫色
1,closer/close,Chinese,淡紫色
2,further/split,Chinese,橙子色
4,closer/close,Chinese, 亮绿色 
1,further/split,Chinese,蓝色
1,further/split,Chinese,紫色
1,closer/close,Chinese,蓝紫色
1,equal/far,Chinese,红
1,further/split,Chinese,淡蓝色
1,equal/far,Chinese,淡蓝色
1,closer/close,Chinese,淡绿色
1,further/split,Chinese,蓝色
1,equal/far,Chinese,黄色
1,further/split,Chinese,黄色
1,equal/far,Chinese,紫色
1,closer/close,Chinese,淡紫色
1,closer/close,Chinese,黄色
1,further/split,Chinese,浅褐色
1,closer/close,Chinese,绿色
